"clust_id","X_position","Y_position","type","SegmentType","GenesDetected","ROI_cat_num","x_axis"
1,15150,24659,"Cortical layer V - NeuN+","NeuN+",6980,1,0.255768612609245
2,15150,24659,"Cortical layer V - IBA1+","IBA1+",1363,2,1.53394550795201
3,15150,24659,"Cortical layer V - GFAP+","GFAP+",1272,3,2.72247496293858
4,15150,24659,"Cortical layer V - Neuropil","Neuropil",1723,4,3.42165108863264
1,17781,32538,"Cortical layer II/III - NeuN+","NeuN+",6735,1,0.372249139938504
2,17781,32538,"Cortical layer II/III - IBA1+","IBA1+",1083,2,1.52083848870825
3,17781,32538,"Cortical layer II/III - GFAP+","GFAP+",3235,3,2.30885218898766
4,17781,32538,"Cortical layer II/III - Neuropil","Neuropil",1493,4,3.43745422759093
1,19978,31299,"Cortical layer V - NeuN+","NeuN+",7286,1,0.413755558431149
2,19978,31299,"Cortical layer V - IBA1+","IBA1+",1920,2,1.7236028756015
3,19978,31299,"Cortical layer V - GFAP+","GFAP+",1817,3,2.70528745616321
4,19978,31299,"Cortical layer V - Neuropil","Neuropil",768,4,3.63122235774063
1,29808.294921875,17616.25390625,"Hippocampal hilus - NeuN+","NeuN+",6862,1,0.629037458100356
4,29808.294921875,17616.25390625,"Hippocampal hilus - Neuropil","Neuropil",1826,4,3.74924541718792
1,24204.931640625,16611.033203125,"Hippocampal hilus - NeuN+","NeuN+",6790,1,0.540200702380389
4,24204.931640625,16611.033203125,"Hippocampal hilus - Neuropil","Neuropil",1650,4,3.35664209071547
1,26931.96875,17934.740234375,"Hippocampal hilus - NeuN+","NeuN+",6411,1,0.316775949206203
4,26931.96875,17934.740234375,"Hippocampal hilus - Neuropil","Neuropil",1644,4,3.64614115806762
1,17683,20128,"Hippocampus CA1 - NeuN+","NeuN+",6125,1,0.740952918655239
2,17683,20128,"Hippocampus CA1 - IBA1+","IBA1+",816,2,1.74102439626586
4,17683,20128,"Hippocampus CA1 - Neuropil","Neuropil",1240,4,3.31272173754405
1,16563,16483,"Hippocampus CA1 - NeuN+","NeuN+",6075,1,0.559142571990378
2,16563,16483,"Hippocampus CA1 - IBA1+","IBA1+",1440,2,1.6790934021119
4,16563,16483,"Hippocampus CA1 - Neuropil","Neuropil",1801,4,3.31969376793131
1,19727,22092,"Hippocampus CA1 - NeuN+","NeuN+",5864,1,0.433290260727517
2,19727,22092,"Hippocampus CA1 - IBA1+","IBA1+",1193,2,1.32856511359569
4,19727,22092,"Hippocampus CA1 - Neuropil","Neuropil",1366,4,3.47391991713084
1,12988,25768,"Cortical layer II/III - NeuN+","NeuN+",6724,1,0.492937289644033
2,12988,25768,"Cortical layer II/III - IBA1+","IBA1+",1668,2,1.72510152019095
3,12988,25768,"Cortical layer II/III - GFAP+","GFAP+",1809,3,2.70237694005482
4,12988,25768,"Cortical layer II/III - Neuropil","Neuropil",903,4,3.72008235089015
1,14266,22500,"Cortical layer V - NeuN+","NeuN+",6363,1,0.636746618314646
2,14266,22500,"Cortical layer V - IBA1+","IBA1+",1080,2,1.29610549286008
3,14266,22500,"Cortical layer V - GFAP+","GFAP+",2381,3,2.25812171481084
4,14266,22500,"Cortical layer V - Neuropil","Neuropil",1231,4,3.41675479349215
1,11922,23565,"Cortical layer II/III - NeuN+","NeuN+",7057,1,0.37092654616572
2,11922,23565,"Cortical layer II/III - IBA1+","IBA1+",895,2,1.64603535912465
3,11922,23565,"Cortical layer II/III - GFAP+","GFAP+",2424,3,2.49819351884071
4,11922,23565,"Cortical layer II/III - Neuropil","Neuropil",1651,4,3.50693954515737
