"","ROI_Name","X_position","Y_position","type","SegmentType","Gene","Expression"
"1","Cx. V, 007, NeuN+",15150,24659,"Cortical layer V - NeuN+","NeuN+","GDI1",1.25712410131276
"2","Cx. V, 009, NeuN+",19978,31299,"Cortical layer V - NeuN+","NeuN+","GDI1",1.5104831748463
"3","Cx. V, 033, NeuN+",14266,22500,"Cortical layer V - NeuN+","NeuN+","GDI1",1.51471130678868
"4","Cx. II/III, 008, NeuN+",17781,32538,"Cortical layer II/III - NeuN+","NeuN+","GDI1",1.34647155247028
"5","Cx. II/III, 032, NeuN+",12988,25768,"Cortical layer II/III - NeuN+","NeuN+","GDI1",1.21353637116829
"6","Cx. II/III, 036, NeuN+",11922,23565,"Cortical layer II/III - NeuN+","NeuN+","GDI1",1.09585428979802
"7","Hipp. CA1, 021, NeuN+",19727,22092,"Hippocampus CA1 - NeuN+","NeuN+","GDI1",1.41248469514468
"8","Hipp. Hilus, 014, NeuN+",29808.294921875,17616.25390625,"Hippocampal hilus - NeuN+","NeuN+","GDI1",1.49019291870401
"9","Hipp. Hilus, 016, NeuN+",26931.96875,17934.740234375,"Hippocampal hilus - NeuN+","NeuN+","GDI1",1.21155313597465
"10","Hipp. Hilus, 015, NeuN+",24204.931640625,16611.033203125,"Hippocampal hilus - NeuN+","NeuN+","GDI1",1.59413423497519
"11","Hipp. CA1, 017, NeuN+",17683,20128,"Hippocampus CA1 - NeuN+","NeuN+","GDI1",1.55367904403406
"12","Hipp. CA1, 019, NeuN+",16563,16483,"Hippocampus CA1 - NeuN+","NeuN+","GDI1",1.4545470061862
"13","Cx. II/III, 032, GFAP+",12988,25768,"Cortical layer II/III - GFAP+","GFAP+","GDI1",-0.108802518807234
"14","Cx. V, 009, IBA1+",19978,31299,"Cortical layer V - IBA1+","IBA1+","GDI1",-1.1029051752732
"15","Cx. V, 033, IBA1+",14266,22500,"Cortical layer V - IBA1+","IBA1+","GDI1",0.203788999786552
"16","Cx. V, 009, Neuropil",19978,31299,"Cortical layer V - Neuropil","Neuropil","GDI1",-0.602035340428748
"17","Hipp. CA1, 017, IBA1+",17683,20128,"Hippocampus CA1 - IBA1+","IBA1+","GDI1",-0.0251514586783484
"18","Hipp. CA1, 019, IBA1+",16563,16483,"Hippocampus CA1 - IBA1+","IBA1+","GDI1",-0.491383617807764
"19","Cx. II/III, 036, IBA1+",11922,23565,"Cortical layer II/III - IBA1+","IBA1+","GDI1",-0.602035340428748
"20","Cx. V, 007, IBA1+",15150,24659,"Cortical layer V - IBA1+","IBA1+","GDI1",-0.491383617807765
"21","Hipp. Hilus, 014, Neuropil",29808.294921875,17616.25390625,"Hippocampal hilus - Neuropil","Neuropil","GDI1",-0.81847422182726
"22","Cx. II/III, 008, Neuropil",17781,32538,"Cortical layer II/III - Neuropil","Neuropil","GDI1",-0.0342470059184008
"23","Cx. V, 033, Neuropil",14266,22500,"Cortical layer V - Neuropil","Neuropil","GDI1",-1.1337980224873
"24","Cx. V, 007, Neuropil",15150,24659,"Cortical layer V - Neuropil","Neuropil","GDI1",-0.178792099213979
"25","Hipp. CA1, 021, Neuropil",19727,22092,"Hippocampus CA1 - Neuropil","Neuropil","GDI1",-0.462075098413524
"26","Cx. II/III, 036, Neuropil",11922,23565,"Cortical layer II/III - Neuropil","Neuropil","GDI1",-0.194308102246972
"27","Cx. II/III, 032, Neuropil",12988,25768,"Cortical layer II/III - Neuropil","Neuropil","GDI1",-1.20926526453015
"28","Cx. II/III, 032, IBA1+",12988,25768,"Cortical layer II/III - IBA1+","IBA1+","GDI1",-0.602035340428748
"29","Hipp. CA1, 017, Neuropil",17683,20128,"Hippocampus CA1 - Neuropil","Neuropil","GDI1",-0.728243289584086
"30","Hipp. CA1, 019, Neuropil",16563,16483,"Hippocampus CA1 - Neuropil","Neuropil","GDI1",-0.751216923486767
"31","Cx. II/III, 008, IBA1+",17781,32538,"Cortical layer II/III - IBA1+","IBA1+","GDI1",-0.354149864520404
"32","Hipp. CA1, 021, IBA1+",19727,22092,"Hippocampus CA1 - IBA1+","IBA1+","GDI1",-0.654793553343532
"33","Hipp. Hilus, 015, Neuropil",24204.931640625,16611.033203125,"Hippocampal hilus - Neuropil","Neuropil","GDI1",-0.840455377187769
"34","Hipp. Hilus, 016, Neuropil",26931.96875,17934.740234375,"Hippocampal hilus - Neuropil","Neuropil","GDI1",-0.924871487400173
"35","Cx. II/III, 008, GFAP+",17781,32538,"Cortical layer II/III - GFAP+","GFAP+","GDI1",-1.18655623540208
"36","Cx. V, 009, GFAP+",19978,31299,"Cortical layer V - GFAP+","GFAP+","GDI1",-1.36719753842981
"37","Cx. II/III, 036, GFAP+",11922,23565,"Cortical layer II/III - GFAP+","GFAP+","GDI1",-0.720324076272666
"38","Cx. V, 007, GFAP+",15150,24659,"Cortical layer V - GFAP+","GFAP+","GDI1",-0.98461643942928
"39","Cx. V, 033, GFAP+",14266,22500,"Cortical layer V - GFAP+","GFAP+","GDI1",-0.289443821834963
"40","Cx. V, 007, NeuN+",15150,24659,"Cortical layer V - NeuN+","NeuN+","APP",1.69082665052225
"41","Cx. V, 009, NeuN+",19978,31299,"Cortical layer V - NeuN+","NeuN+","APP",1.6897764454604
"42","Cx. V, 033, NeuN+",14266,22500,"Cortical layer V - NeuN+","NeuN+","APP",1.40284810087277
"43","Cx. II/III, 008, NeuN+",17781,32538,"Cortical layer II/III - NeuN+","NeuN+","APP",1.25354470471031
"44","Cx. II/III, 032, NeuN+",12988,25768,"Cortical layer II/III - NeuN+","NeuN+","APP",1.40724004251245
"45","Cx. II/III, 036, NeuN+",11922,23565,"Cortical layer II/III - NeuN+","NeuN+","APP",1.24173555585508
"46","Hipp. CA1, 021, NeuN+",19727,22092,"Hippocampus CA1 - NeuN+","NeuN+","APP",1.6246718422001
"47","Hipp. Hilus, 014, NeuN+",29808.294921875,17616.25390625,"Hippocampal hilus - NeuN+","NeuN+","APP",1.34996441849651
"48","Hipp. Hilus, 016, NeuN+",26931.96875,17934.740234375,"Hippocampal hilus - NeuN+","NeuN+","APP",1.2190099965564
"49","Hipp. Hilus, 015, NeuN+",24204.931640625,16611.033203125,"Hippocampal hilus - NeuN+","NeuN+","APP",1.15447050770394
"50","Hipp. CA1, 017, NeuN+",17683,20128,"Hippocampus CA1 - NeuN+","NeuN+","APP",1.51988201666974
"51","Hipp. CA1, 019, NeuN+",16563,16483,"Hippocampus CA1 - NeuN+","NeuN+","APP",1.54345664284038
"52","Cx. II/III, 032, GFAP+",12988,25768,"Cortical layer II/III - GFAP+","GFAP+","APP",-0.0844818796152483
"53","Cx. V, 009, IBA1+",19978,31299,"Cortical layer V - IBA1+","IBA1+","APP",-0.177769828366981
"54","Cx. V, 033, IBA1+",14266,22500,"Cortical layer V - IBA1+","IBA1+","APP",-0.536104596345993
"55","Cx. V, 009, Neuropil",19978,31299,"Cortical layer V - Neuropil","Neuropil","APP",-0.243740909676265
"56","Hipp. CA1, 017, IBA1+",17683,20128,"Hippocampus CA1 - IBA1+","IBA1+","APP",-0.473468014751685
"57","Hipp. CA1, 019, IBA1+",16563,16483,"Hippocampus CA1 - IBA1+","IBA1+","APP",-0.726014993564436
"58","Cx. II/III, 036, IBA1+",11922,23565,"Cortical layer II/III - IBA1+","IBA1+","APP",-0.750378516660218
"59","Cx. V, 007, IBA1+",15150,24659,"Cortical layer V - IBA1+","IBA1+","APP",-0.331005957827407
"60","Hipp. Hilus, 014, Neuropil",29808.294921875,17616.25390625,"Hippocampal hilus - Neuropil","Neuropil","APP",-0.78843248820505
"61","Cx. II/III, 008, Neuropil",17781,32538,"Cortical layer II/III - Neuropil","Neuropil","APP",-1.03851015308588
"62","Cx. V, 033, Neuropil",14266,22500,"Cortical layer V - Neuropil","Neuropil","APP",-0.400361618999422
"63","Cx. V, 007, Neuropil",15150,24659,"Cortical layer V - Neuropil","Neuropil","APP",-0.610377131842084
"64","Hipp. CA1, 021, Neuropil",19727,22092,"Hippocampus CA1 - Neuropil","Neuropil","APP",-0.780379660699004
"65","Cx. II/III, 036, Neuropil",11922,23565,"Cortical layer II/III - Neuropil","Neuropil","APP",-0.538627244370919
"66","Cx. II/III, 032, Neuropil",12988,25768,"Cortical layer II/III - Neuropil","Neuropil","APP",-0.609210992098256
"67","Cx. II/III, 032, IBA1+",12988,25768,"Cortical layer II/III - IBA1+","IBA1+","APP",-0.632727044812702
"68","Hipp. CA1, 017, Neuropil",17683,20128,"Hippocampus CA1 - Neuropil","Neuropil","APP",-0.647344905553288
"69","Hipp. CA1, 019, Neuropil",16563,16483,"Hippocampus CA1 - Neuropil","Neuropil","APP",-0.661194179401645
"70","Cx. II/III, 008, IBA1+",17781,32538,"Cortical layer II/III - IBA1+","IBA1+","APP",-0.879251123024862
"71","Hipp. CA1, 021, IBA1+",19727,22092,"Hippocampus CA1 - IBA1+","IBA1+","APP",-0.807439259634916
"72","Hipp. Hilus, 015, Neuropil",24204.931640625,16611.033203125,"Hippocampal hilus - Neuropil","Neuropil","APP",-1.21703138559571
"73","Hipp. Hilus, 016, Neuropil",26931.96875,17934.740234375,"Hippocampal hilus - Neuropil","Neuropil","APP",-1.19543372699741
"74","Cx. II/III, 008, GFAP+",17781,32538,"Cortical layer II/III - GFAP+","GFAP+","APP",-0.791986074873721
"75","Cx. V, 009, GFAP+",19978,31299,"Cortical layer V - GFAP+","GFAP+","APP",0.00278316853589484
"76","Cx. II/III, 036, GFAP+",11922,23565,"Cortical layer II/III - GFAP+","GFAP+","APP",-0.524498182171277
"77","Cx. V, 007, GFAP+",15150,24659,"Cortical layer V - GFAP+","GFAP+","APP",-0.632727044812703
"78","Cx. V, 033, GFAP+",14266,22500,"Cortical layer V - GFAP+","GFAP+","APP",-1.02171317994914
