"","ROI_Name","X_position","Y_position","type","SegmentType","Gene","Expression"
"1","Hipp. CA1, 019, Iba1+",16563,16483,"Hippocampus CA1 - Iba1+","Iba1+","LRRTM4",0.0973625342124586
"2","Cx. V, 007, Iba1+",15150,24659,"Cortical layer V - Iba1+","Iba1+","LRRTM4",-0.290613688232256
"3","Hipp. CA1, 017, Iba1+",17683,20128,"Hippocampus CA1 - Iba1+","Iba1+","LRRTM4",0.900236276201609
"4","Cx. V, 009, Iba1+",19978,31299,"Cortical layer V - Iba1+","Iba1+","LRRTM4",-2.24046000956109
"5","Cx. II/III, 008, Iba1+",17781,32538,"Cortical layer II/III - Iba1+","Iba1+","LRRTM4",-1.15343443056896
"6","Cx. V, 033, Iba1+",14266,22500,"Cortical layer V - Iba1+","Iba1+","LRRTM4",-2.01625517290567
"7","Hipp. CA1, 021, Iba1+",19727,22092,"Hippocampus CA1 - Iba1+","Iba1+","LRRTM4",-0.10545541102261
"8","Cx. II/III, 032, Iba1+",12988,25768,"Cortical layer II/III - Iba1+","Iba1+","LRRTM4",-0.902794747332392
"9","Cx. II/III, 036, Iba1+",11922,23565,"Cortical layer II/III - Iba1+","Iba1+","LRRTM4",-0.902794747332392
"10","Hipp. Hilus, 014, Neuropil",29808.294921875,17616.25390625,"Hippocampal hilus - Neuropil","Neuropil","LRRTM4",-0.0176913115060185
"11","Hipp. Hilus, 015, Neuropil",24204.931640625,16611.033203125,"Hippocampal hilus - Neuropil","Neuropil","LRRTM4",0.63353630703989
"12","Hipp. Hilus, 016, Neuropil",26931.96875,17934.740234375,"Hippocampal hilus - Neuropil","Neuropil","LRRTM4",0.732062086878324
"13","Cx. V, 009, Neuropil",19978,31299,"Cortical layer V - Neuropil","Neuropil","LRRTM4",0.572207054104447
"14","Cx. II/III, 008, Neuropil",17781,32538,"Cortical layer II/III - Neuropil","Neuropil","LRRTM4",0.321567370867879
"15","Cx. V, 007, Neuropil",15150,24659,"Cortical layer V - Neuropil","Neuropil","LRRTM4",1.07523712226764
"16","Cx. V, 033, Neuropil",14266,22500,"Cortical layer V - Neuropil","Neuropil","LRRTM4",0.3870487768948
"17","Hipp. CA1, 017, Neuropil",17683,20128,"Hippocampus CA1 - Neuropil","Neuropil","LRRTM4",0.890407262032828
"18","Hipp. CA1, 021, Neuropil",19727,22092,"Hippocampus CA1 - Neuropil","Neuropil","LRRTM4",0.952014445848865
"19","Hipp. CA1, 019, Neuropil",16563,16483,"Hippocampus CA1 - Neuropil","Neuropil","LRRTM4",0.288055217101473
"20","Cx. II/III, 032, Neuropil",12988,25768,"Cortical layer II/III - Neuropil","Neuropil","LRRTM4",1.39736348958327
"21","Cx. II/III, 036, Neuropil",11922,23565,"Cortical layer II/III - Neuropil","Neuropil","LRRTM4",0.513902645721306
"22","Cx. V, 009, GFAP+",19978,31299,"Cortical layer V - GFAP+","GFAP+","LRRTM4",1.18438811320458
"23","Cx. II/III, 036, GFAP+",11922,23565,"Cortical layer II/III - GFAP+","GFAP+","LRRTM4",0.572207054104447
"24","Cx. II/III, 008, GFAP+",17781,32538,"Cortical layer II/III - GFAP+","GFAP+","LRRTM4",0.321567370867878
"25","Cx. II/III, 032, GFAP+",12988,25768,"Cortical layer II/III - GFAP+","GFAP+","LRRTM4",-0.290613688232257
"26","Cx. V, 007, GFAP+",15150,24659,"Cortical layer V - GFAP+","GFAP+","LRRTM4",-1.15343443056896
"27","Cx. V, 033, GFAP+",14266,22500,"Cortical layer V - GFAP+","GFAP+","LRRTM4",-1.7656154896691
"28","Hipp. CA1, 019, Iba1+",16563,16483,"Hippocampus CA1 - Iba1+","Iba1+","CNTNAP4",-0.676634118945234
"29","Cx. V, 007, Iba1+",15150,24659,"Cortical layer V - Iba1+","Iba1+","CNTNAP4",0.474746659655316
"30","Hipp. CA1, 017, Iba1+",17683,20128,"Hippocampus CA1 - Iba1+","Iba1+","CNTNAP4",-1.88920141340412
"31","Cx. V, 009, Iba1+",19978,31299,"Cortical layer V - Iba1+","Iba1+","CNTNAP4",-2.4648918027044
"32","Cx. II/III, 008, Iba1+",17781,32538,"Cortical layer II/III - Iba1+","Iba1+","CNTNAP4",0.64125026748862
"33","Cx. V, 033, Iba1+",14266,22500,"Cortical layer V - Iba1+","Iba1+","CNTNAP4",-1.14700741627054
"34","Hipp. CA1, 021, Iba1+",19727,22092,"Hippocampus CA1 - Iba1+","Iba1+","CNTNAP4",-0.346835462534743
"35","Cx. II/III, 032, Iba1+",12988,25768,"Cortical layer II/III - Iba1+","Iba1+","CNTNAP4",-0.84313772677854
"36","Cx. II/III, 036, Iba1+",11922,23565,"Cortical layer II/III - Iba1+","Iba1+","CNTNAP4",-0.84313772677854
"37","Hipp. Hilus, 014, Neuropil",29808.294921875,17616.25390625,"Hippocampal hilus - Neuropil","Neuropil","CNTNAP4",1.24395567318341
"38","Hipp. Hilus, 015, Neuropil",24204.931640625,16611.033203125,"Hippocampal hilus - Neuropil","Neuropil","CNTNAP4",0.64125026748862
"39","Hipp. Hilus, 016, Neuropil",26931.96875,17934.740234375,"Hippocampal hilus - Neuropil","Neuropil","CNTNAP4",0.159875202991245
"40","Cx. V, 009, Neuropil",19978,31299,"Cortical layer V - Neuropil","Neuropil","CNTNAP4",0.474746659655316
"41","Cx. II/III, 008, Neuropil",17781,32538,"Cortical layer II/III - Neuropil","Neuropil","CNTNAP4",0.416768703053096
"42","Cx. V, 007, Neuropil",15150,24659,"Cortical layer V - Neuropil","Neuropil","CNTNAP4",1.26802966272326
"43","Cx. V, 033, Neuropil",14266,22500,"Cortical layer V - Neuropil","Neuropil","CNTNAP4",0.720638392545098
