FC,Pvalue,Significance,GeneName,GeneName2,Color
-3.763997122,3.80E-07,6.420290197,MET,,#F0E442
4.028009389,1.79E-05,4.748341545,,SPOCK3,#009E73
3.990120064,1.81E-05,4.742385733,STXBP6,,#009E73
-2.016540612,5.86E-05,4.231804175,CNTNAP2,,#F0E442
3.68348618,7.15E-05,4.145800176,,SEMA3C,#009E73
3.526895882,0.000102013,3.991342908,TLL1,,#009E73
-2.035305542,0.000116931,3.932069335,TESC,,#F0E442
-2.223424402,0.000133805,3.873529057,,RASGRF1,#F0E442
5.980064188,0.000167541,3.775878036,SEMA5A,,#009E73
-2.102999264,0.000192844,3.714794534,C11orf96,,#F0E442
-0.933536605,1.45E-06,5.839983731,,,#F0E442
-1.018062848,1.11E-05,4.953466798,,,#F0E442
0.842737077,1.22E-05,4.912147956,,,#009E73
2.624433389,1.32E-05,4.880489282,,,#009E73
1.974365344,1.63E-05,4.787097084,,,#009E73
-1.445191433,1.90E-05,4.721311538,,,#F0E442
1.826975727,2.02E-05,4.69358122,,,#009E73
3.229244154,2.12E-05,4.674597225,,,#009E73
2.513499116,2.49E-05,4.604489625,,,#009E73
2.673854215,2.57E-05,4.589402691,,,#009E73
1.44390242,2.77E-05,4.556812207,,,#009E73
-1.357730898,2.84E-05,4.546403463,,,#F0E442
1.342467445,3.32E-05,4.478372535,,,#009E73
1.374282665,5.23E-05,4.281385729,,,#009E73
1.260356263,5.66E-05,4.246954024,,,#009E73
1.610532955,6.47E-05,4.18880938,,,#009E73
-0.826199878,6.92E-05,4.159626274,,,#F0E442
1.840497803,6.93E-05,4.159467267,,,#009E73
-0.781933233,6.98E-05,4.156267349,,,#F0E442
-2.38687966,8.37E-05,4.077371857,,,#F0E442
-1.097086691,8.51E-05,4.069908596,,,#F0E442
2.510259536,9.18E-05,4.037118723,,,#009E73
3.280407696,9.62E-05,4.016988756,,,#009E73
-0.835723411,0.0001052,3.977982528,,,#F0E442
1.492968256,0.000130033,3.885947345,,,#009E73
-1.970247604,0.000138172,3.859579433,,,#F0E442
-1.70592636,0.000147323,3.831728681,,,#F0E442
1.800465134,0.000157329,3.803190759,,,#009E73
-0.586751826,0.000158172,3.800869744,,,#F0E442
-1.615601011,0.000160917,3.793398363,,,#F0E442
3.11150902,0.000171178,3.766553128,,,#009E73
-1.387965088,0.000191808,3.717132921,,,#F0E442
0.456887631,0.000192559,3.715436166,,,#D3D3D3
1.100055227,0.000192651,3.715229618,,,#009E73
-1.704599583,0.000198163,3.702978325,,,#F0E442
0.940583135,0.000199568,3.699909293,,,#009E73
1.813251478,0.000204129,3.690096176,,,#009E73
-0.637489952,0.000225121,3.647584792,,,#F0E442
2.440936315,0.000262803,3.580369024,,,#009E73
-0.449835333,0.000267824,3.572151121,,,#D3D3D3
-2.505058675,0.000278362,3.555389993,,,#F0E442
1.114955241,0.000284781,3.54548964,,,#009E73
1.127706995,0.000306826,3.513107521,,,#009E73
1.467015477,0.000308663,3.510515625,,,#009E73
-1.361334327,0.000309652,3.509125714,,,#F0E442
-1.994480767,0.000332933,3.477642652,,,#F0E442
4.150326531,0.000347155,3.459476557,,,#009E73
0.329925807,0.000353761,3.451289628,,,#D3D3D3
-1.174976071,0.000356198,3.448308604,,,#F0E442
1.204296587,0.000370696,3.430981807,,,#009E73
-2.746276967,0.000389254,3.409767357,,,#F0E442
-1.085305271,0.00040161,3.396195039,,,#F0E442
0.983071561,0.000414608,3.382362202,,,#009E73
0.773474387,0.000420166,3.376578589,,,#009E73
1.003219828,0.000423728,3.372913178,,,#009E73
0.763924549,0.000428765,3.367780879,,,#009E73
-3.556208451,0.000429245,3.367294427,,,#F0E442
-0.794666632,0.000430792,3.365732804,,,#F0E442
-0.593155163,0.000434829,3.36168133,,,#F0E442
1.000862202,0.000440467,3.356087048,,,#009E73
0.405487899,0.000441154,3.355410117,,,#D3D3D3
-1.490991176,0.000448083,3.348641627,,,#F0E442
0.766643975,0.000451997,3.344864017,,,#009E73
1.718423158,0.000463517,3.333934441,,,#009E73
-2.859890782,0.000465753,3.33184451,,,#F0E442
-1.289321695,0.000472093,3.325972735,,,#F0E442
-1.17917987,0.000477601,3.320934397,,,#F0E442
2.147075674,0.000533703,3.272700456,,,#009E73
1.342147982,0.000539182,3.268264841,,,#009E73
-0.813035537,0.00054703,3.261988877,,,#F0E442
2.330171264,0.000550747,3.259047828,,,#009E73
2.310552682,0.000565511,3.2475591,,,#009E73
-0.639985108,0.00056678,3.246585667,,,#F0E442
2.031939067,0.000572681,3.242087517,,,#009E73
2.091806043,0.000597122,3.223937143,,,#009E73
1.736650676,0.000602951,3.219717847,,,#009E73
-0.507498713,0.000604339,3.218719317,,,#F0E442
0.697745544,0.000614523,3.211461839,,,#009E73
-0.810001665,0.0006181,3.208941416,,,#F0E442
-1.429099187,0.000633886,3.197988503,,,#F0E442
-1.582328457,0.000639378,3.194242292,,,#F0E442
0.838562607,0.000643517,3.191439978,,,#009E73
1.129708941,0.00066344,3.178198179,,,#009E73
-0.544036801,0.000672002,3.172629448,,,#F0E442
1.114788495,0.000675481,3.170386716,,,#009E73
-1.234010822,0.000679298,3.167939416,,,#F0E442
-0.627269003,0.000680919,3.166904666,,,#F0E442
-1.778975392,0.000687751,3.162569009,,,#F0E442
0.807111296,0.000689563,3.161425748,,,#009E73
-1.561694226,0.000731241,3.135939756,,,#F0E442
2.652254581,0.000739962,3.130790742,,,#009E73
-1.620346566,0.000742286,3.129428585,,,#F0E442
1.024795502,0.00075667,3.121093441,,,#009E73
1.543462293,0.000765688,3.115948033,,,#009E73
-1.780392732,0.000791658,3.101462266,,,#F0E442
2.015078993,0.000802261,3.095684443,,,#009E73
1.092598877,0.000811281,3.090828904,,,#009E73
0.721586171,0.000841828,3.074776417,,,#009E73
1.165471413,0.000847677,3.071769832,,,#009E73
0.808139393,0.000855557,3.067751234,,,#009E73
-1.509577554,0.000892653,3.049317361,,,#F0E442
2.327650399,0.000892659,3.049314505,,,#009E73
-0.398729641,0.000893003,3.049147157,,,#D3D3D3
0.797405926,0.000906984,3.042400545,,,#009E73
-0.910695854,0.000919647,3.036379058,,,#F0E442
-0.764124747,0.000919803,3.036305119,,,#F0E442
2.338407892,0.000931323,3.030899472,,,#009E73
1.131184452,0.000933226,3.030013287,,,#009E73
1.342026042,0.000961894,3.016872934,,,#009E73
-0.579453261,0.000993086,3.003013046,,,#F0E442
1.78748762,0.001029325,2.987447631,,,#009E73
-1.631948274,0.001039075,2.983353156,,,#F0E442
0.958759164,0.001045573,2.980645637,,,#009E73
0.681601734,0.00105773,2.975625005,,,#009E73
-1.763166377,0.001068011,2.971424136,,,#F0E442
-1.284273408,0.001068795,2.971105604,,,#F0E442
-2.981989199,0.001075498,2.968390501,,,#F0E442
-0.883739742,0.001077523,2.967573603,,,#F0E442
1.194304623,0.001087024,2.963760951,,,#009E73
-1.110920096,0.001090147,2.962514741,,,#F0E442
1.610458312,0.001118107,2.951516615,,,#009E73
2.930435386,0.001121805,2.950082452,,,#009E73
1.399439949,0.001133047,2.945751992,,,#009E73
1.294636092,0.001143204,2.94187615,,,#009E73
0.643421701,0.001166895,2.932968348,,,#009E73
0.520909271,0.001175481,2.929784483,,,#009E73
0.540234027,0.001179443,2.928323187,,,#009E73
-1.158329079,0.001188877,2.924863172,,,#F0E442
0.674184181,0.001219165,2.91393752,,,#009E73
1.825212351,0.001229998,2.910095485,,,#009E73
3.184659502,0.001263404,2.898457622,,,#009E73
1.125059169,0.001277257,2.893721738,,,#009E73
1.65861461,0.001278507,2.893296983,,,#009E73
-1.092449611,0.001282084,2.892083378,,,#F0E442
1.982578362,0.001309693,2.882830356,,,#009E73
0.493938788,0.001312835,2.881789901,,,#D3D3D3
0.507918459,0.001316957,2.880428534,,,#009E73
1.056888053,0.001344478,2.871446285,,,#009E73
1.207587596,0.001348866,2.870031224,,,#009E73
0.68979348,0.001367271,2.864145463,,,#009E73
0.941840625,0.00137804,2.860738102,,,#009E73
2.280884346,0.001388702,2.857390973,,,#009E73
0.611370231,0.001390909,2.856701132,,,#009E73
1.463051459,0.001395374,2.855309384,,,#009E73
-1.436049991,0.001403284,2.852854275,,,#F0E442
-1.163863068,0.001415317,2.849146132,,,#F0E442
1.6500177,0.00143244,2.843923659,,,#009E73
-0.414801513,0.001436696,2.842635092,,,#D3D3D3
2.149880615,0.001447507,2.839379404,,,#009E73
-0.590505336,0.00145095,2.83834741,,,#F0E442
1.280216189,0.001471246,2.832314844,,,#009E73
2.300004139,0.001471415,2.8322649,,,#009E73
1.501813007,0.001493306,2.825851164,,,#009E73
0.601023905,0.001519176,2.818391994,,,#009E73
1.675057966,0.001545705,2.810873415,,,#009E73
2.43200258,0.001548669,2.810041451,,,#009E73
0.392345717,0.001560052,2.806860899,,,#D3D3D3
2.738703811,0.001566491,2.805072128,,,#009E73
-1.033492515,0.001606715,2.794061231,,,#F0E442
0.611087428,0.001611075,2.792884332,,,#009E73
1.246301705,0.001612081,2.792613041,,,#009E73
-0.927019006,0.001628381,2.788244099,,,#F0E442
1.264604338,0.001633399,2.786907702,,,#009E73
-0.361528556,0.001643348,2.784270511,,,#D3D3D3
1.853788976,0.00164626,2.783501534,,,#009E73
0.750695308,0.001683526,2.773780258,,,#009E73
-1.716838057,0.001701827,2.769084543,,,#F0E442
0.906916517,0.001708624,2.767353484,,,#009E73
1.794718658,0.001712529,2.766361955,,,#009E73
0.805071484,0.001727252,2.762644236,,,#009E73
-0.263211077,0.001728023,2.762450426,,,#D3D3D3
0.715095386,0.001735771,2.760507613,,,#009E73
1.30593391,0.001738846,2.759738878,,,#009E73
-0.988347797,0.001762928,2.753765518,,,#F0E442
-2.169520761,0.001772573,2.751395992,,,#F0E442
1.222760711,0.001792706,2.746490859,,,#009E73
-1.969672328,0.001805297,2.743451385,,,#F0E442
-0.770892801,0.001811345,2.741998819,,,#F0E442
2.948438007,0.00181524,2.741066005,,,#009E73
1.375173129,0.00183158,2.73717412,,,#009E73
-1.581967457,0.001833579,2.73670049,,,#F0E442
0.339135919,0.001846417,2.733670295,,,#D3D3D3
-1.002610805,0.001853312,2.732051413,,,#F0E442
-0.432892202,0.001861866,2.730051589,,,#D3D3D3
1.343895621,0.001866641,2.72893919,,,#009E73
1.460456875,0.001877335,2.7264582,,,#009E73
5.623425449,0.001896443,2.722060236,,,#009E73
0.647590026,0.001901113,2.720992121,,,#009E73
-1.102111696,0.001902083,2.72077059,,,#F0E442
-1.124737485,0.001910533,2.718845443,,,#F0E442
1.08522379,0.001912848,2.718319553,,,#009E73
1.117493229,0.001914111,2.71803293,,,#009E73
1.024803617,0.001927766,2.714945759,,,#009E73
1.123877815,0.001934968,2.713326143,,,#009E73
1.430958507,0.001940636,2.712055823,,,#009E73
1.253726177,0.001949078,2.710170719,,,#009E73
2.372778739,0.00197156,2.705189979,,,#009E73
2.253911014,0.001977423,2.703900475,,,#009E73
1.021956858,0.001982309,2.702828569,,,#009E73
1.863224099,0.001987518,2.701688904,,,#009E73
1.073980171,0.001997658,2.699478835,,,#009E73
-0.698472538,0.002013064,2.696142481,,,#F0E442
1.074771591,0.002026869,2.69317442,,,#009E73
-1.181543389,0.002043831,2.689555117,,,#F0E442
-0.756163365,0.002074696,2.68304556,,,#F0E442
-1.073330928,0.00207565,2.68284585,,,#F0E442
0.902925637,0.00208835,2.680196722,,,#009E73
-2.708587614,0.002104269,2.676898645,,,#F0E442
0.959350927,0.002120008,2.673662491,,,#009E73
0.527815154,0.00212012,2.673639545,,,#009E73
-1.164819699,0.002127206,2.672190473,,,#F0E442
-0.710333163,0.002129727,2.671676074,,,#F0E442
1.630126533,0.002145268,2.668518367,,,#009E73
-1.199027445,0.002194062,2.658751072,,,#F0E442
1.163710809,0.002195622,2.658442422,,,#009E73
2.151203583,0.00221012,2.655584144,,,#009E73
1.717700545,0.002215872,2.654455274,,,#009E73
0.792925172,0.002226544,2.652368629,,,#009E73
1.672643661,0.002227167,2.652247232,,,#009E73
1.076597073,0.00223141,2.65142062,,,#009E73
0.756080555,0.002233827,2.650950402,,,#009E73
1.018372964,0.002294467,2.639318111,,,#009E73
0.779656676,0.002295115,2.639195455,,,#009E73
-1.331765124,0.002298162,2.638619293,,,#F0E442
-1.153348171,0.002316186,2.635226602,,,#F0E442
-3.308317784,0.002330639,2.63252498,,,#F0E442
-0.414417675,0.002341968,2.630419101,,,#D3D3D3
-1.787515753,0.002343609,2.630114854,,,#F0E442
-2.95095273,0.002363584,2.626428905,,,#F0E442
0.834226245,0.002388285,2.621913838,,,#009E73
1.885117276,0.002407861,2.618368509,,,#009E73
-1.205475439,0.002411966,2.617628829,,,#F0E442
-1.089383152,0.002412028,2.61761767,,,#F0E442
1.421011469,0.00243465,2.613563508,,,#009E73
-1.431086637,0.002456576,2.609669862,,,#F0E442
1.127444445,0.002466923,2.607844466,,,#009E73
-1.007491678,0.002507489,2.600761007,,,#F0E442
1.001594913,0.002515728,2.59933635,,,#009E73
-0.999492782,0.002529056,2.597041592,,,#F0E442
1.201699641,0.00257671,2.588934387,,,#009E73
-0.513089873,0.002600243,2.584986038,,,#F0E442
-1.85851442,0.002626553,2.580613878,,,#F0E442
-0.965210434,0.002642852,2.577927076,,,#F0E442
0.505998982,0.002652899,2.576279291,,,#009E73
-0.766036492,0.002677598,2.572254677,,,#F0E442
1.426572281,0.002678404,2.572123951,,,#009E73
0.424451576,0.002706399,2.567608122,,,#D3D3D3
-2.146829891,0.002711586,2.566776648,,,#F0E442
-1.922809803,0.002718638,2.565648671,,,#F0E442
2.015501158,0.00275894,2.55925778,,,#009E73
-1.439350983,0.002775312,2.556688189,,,#F0E442
-0.5747797,0.002780472,2.555881423,,,#F0E442
2.191702653,0.002834085,2.547587103,,,#009E73
1.076437857,0.002850373,2.545098269,,,#009E73
0.813008551,0.002914811,2.535389581,,,#009E73
1.502375133,0.002946505,2.530692799,,,#009E73
-0.47652331,0.002951247,2.529994383,,,#D3D3D3
2.735980064,0.002967514,2.527607158,,,#009E73
-0.458485473,0.002978065,2.526065807,,,#D3D3D3
1.48316488,0.002984681,2.525102131,,,#009E73
0.839568592,0.002999053,2.523015912,,,#009E73
-1.18056384,0.003048863,2.515862118,,,#F0E442
0.949050024,0.003051039,2.515552238,,,#009E73
-0.833507443,0.003066369,2.513375606,,,#F0E442
-0.783213259,0.003067767,2.513177619,,,#F0E442
2.316451123,0.00306847,2.513078141,,,#009E73
-0.725484129,0.003105781,2.507829197,,,#F0E442
-1.242203078,0.00310633,2.50775246,,,#F0E442
1.975855379,0.003113785,2.506711343,,,#009E73
2.862278548,0.003118376,2.506071453,,,#009E73
0.806676653,0.003120206,2.505816715,,,#009E73
