clust_id,X_position,Y_position,type,SegmentType,Histological Structure,NECAB1,LongName,x_axis
1,15150,24659,Cortical layer V - NeuN+,NeuN+,Cortical layer V,81.91146378,Cortical layer V,0.286200939
2,15150,24659,Cortical layer V - IBA1+,IBA1+,Cortical layer V,36.60418538,Cortical layer V,1.42256955
3,15150,24659,Cortical layer V - GFAP+,GFAP+,Cortical layer V,37.54275423,Cortical layer V,2.628162471
4,15150,24659,Cortical layer V - Neuropil,Neuropil,Cortical layer V,25.90450042,Cortical layer V,3.442559523
1,17781,32538,Cortical layer II/III - NeuN+,NeuN+,Cortical layer II/III,87.73148884,Cortical layer II/III,0.25346052
2,17781,32538,Cortical layer II/III - IBA1+,IBA1+,Cortical layer II/III,37.54275423,Cortical layer II/III,1.609219615
3,17781,32538,Cortical layer II/III - GFAP+,GFAP+,Cortical layer II/III,15.01710169,Cortical layer II/III,2.528484666
4,17781,32538,Cortical layer II/III - Neuropil,Neuropil,Cortical layer II/III,51.30843079,Cortical layer II/III,3.485041313
1,19978,31299,Cortical layer V - NeuN+,NeuN+,Cortical layer V,90.10261016,Cortical layer V,0.423908266
2,19978,31299,Cortical layer V - IBA1+,IBA1+,Cortical layer V,40.54617457,Cortical layer V,1.456502777
3,19978,31299,Cortical layer V - GFAP+,GFAP+,Cortical layer V,13.51539152,Cortical layer V,2.405827599
4,19978,31299,Cortical layer V - Neuropil,Neuropil,Cortical layer V,16.89423941,Cortical layer V,3.518783984
1,29808.29492,17616.25391,Hippocampal hilus - NeuN+,NeuN+,Hippocampal hilus,78.1772647,Hippocampal hilus,0.444170142
4,29808.29492,17616.25391,Hippocampal hilus - Neuropil,Neuropil,Hippocampal hilus,25.60811026,Hippocampal hilus,3.559712139
1,24204.93164,16611.0332,Hippocampal hilus - NeuN+,NeuN+,Hippocampal hilus,78.83978389,Hippocampal hilus,0.561770634
4,24204.93164,16611.0332,Hippocampal hilus - Neuropil,Neuropil,Hippocampal hilus,28.84864273,Hippocampal hilus,3.651206166
1,26931.96875,17934.74023,Hippocampal hilus - NeuN+,NeuN+,Hippocampal hilus,54.0615661,Hippocampal hilus,0.577033969
4,26931.96875,17934.74023,Hippocampal hilus - Neuropil,Neuropil,Hippocampal hilus,22.52565254,Hippocampal hilus,3.589726559
1,17683,20128,Hippocampus CA1 - NeuN+,NeuN+,Hippocampus CA1,56.73127306,Hippocampus CA1,0.455377412
2,17683,20128,Hippocampus CA1 - IBA1+,IBA1+,Hippocampus CA1,22.52565254,Hippocampus CA1,1.581626571
4,17683,20128,Hippocampus CA1 - Neuropil,Neuropil,Hippocampus CA1,29.79199207,Hippocampus CA1,3.263558889
1,16563,16483,Hippocampus CA1 - NeuN+,NeuN+,Hippocampus CA1,40.04560452,Hippocampus CA1,0.657964482
2,16563,16483,Hippocampus CA1 - IBA1+,IBA1+,Hippocampus CA1,18.02052203,Hippocampus CA1,1.48752139
4,16563,16483,Hippocampus CA1 - Neuropil,Neuropil,Hippocampus CA1,35.19633209,Hippocampus CA1,3.700482646
1,19727,22092,Hippocampus CA1 - NeuN+,NeuN+,Hippocampus CA1,65.96798244,Hippocampus CA1,0.285413617
2,19727,22092,Hippocampus CA1 - IBA1+,IBA1+,Hippocampus CA1,32.76458551,Hippocampus CA1,1.345561692
4,19727,22092,Hippocampus CA1 - Neuropil,Neuropil,Hippocampus CA1,20.97215926,Hippocampus CA1,3.638464624
1,12988,25768,Cortical layer II/III - NeuN+,NeuN+,Cortical layer II/III,83.06334374,Cortical layer II/III,0.451566752
2,12988,25768,Cortical layer II/III - IBA1+,IBA1+,Cortical layer II/III,33.78847881,Cortical layer II/III,1.551882255
3,12988,25768,Cortical layer II/III - GFAP+,GFAP+,Cortical layer II/III,11.26282627,Cortical layer II/III,2.473090314
4,12988,25768,Cortical layer II/III - Neuropil,Neuropil,Cortical layer II/III,32.01013782,Cortical layer II/III,3.453147734
1,14266,22500,Cortical layer V - NeuN+,NeuN+,Cortical layer V,93.43974387,Cortical layer V,0.538222871
2,14266,22500,Cortical layer V - IBA1+,IBA1+,Cortical layer V,17.51995198,Cortical layer V,1.379753383
3,14266,22500,Cortical layer V - GFAP+,GFAP+,Cortical layer V,33.78847881,Cortical layer V,2.341332542
4,14266,22500,Cortical layer V - Neuropil,Neuropil,Cortical layer V,38.01203866,Cortical layer V,3.398060831
1,11922,23565,Cortical layer II/III - NeuN+,NeuN+,Cortical layer II/III,76.25815859,Cortical layer II/III,0.538039543
2,11922,23565,Cortical layer II/III - IBA1+,IBA1+,Cortical layer II/III,22.52565254,Cortical layer II/III,1.406547971
3,11922,23565,Cortical layer II/III - GFAP+,GFAP+,Cortical layer II/III,22.52565254,Cortical layer II/III,2.312574293
4,11922,23565,Cortical layer II/III - Neuropil,Neuropil,Cortical layer II/III,25.56965964,Cortical layer II/III,3.364616718
