ROI,X_position,Y_position,gene,gene_value,structure,full_gene_name,Order,type
74 | 001 | Geometric Segment,14218,30294,Astrocyte,0.327187792,Layer I,Astrocyte,C,Cortical layer I
74 | 001 | Geometric Segment,14218,30294,Capillary,0.114918784,Layer I,Capillary,E,Cortical layer I
74 | 001 | Geometric Segment,14218,30294,Ependymal,0,Layer I,Ependymal,H,Cortical layer I
74 | 001 | Geometric Segment,14218,30294,Microglia,0.086092326,Layer I,Microglia,B,Cortical layer I
74 | 001 | Geometric Segment,14218,30294,Neuron,0.049130946,Layer I,Neuron,A,Cortical layer I
74 | 001 | Geometric Segment,14218,30294,Oligodendrocytes,0.067537443,Layer I,Oligodendrocytes,G,Cortical layer I
74 | 001 | Geometric Segment,14218,30294,Macrophage,0.144832,Layer I,PeriMacrophage,D,Cortical layer I
74 | 001 | Geometric Segment,14218,30294,SMC,0.08585915,Layer I,SMC,F,Cortical layer I
74 | 001 | Geometric Segment,14218,30294,Tcell,0.111984343,Layer I,Tcell,I,Cortical layer I
74 | 022 | Geometric Segment,13191,28421,Astrocyte,0.317043357,Layer I,Astrocyte,C,Cortical layer I
74 | 022 | Geometric Segment,13191,28421,Capillary,0.083817048,Layer I,Capillary,E,Cortical layer I
74 | 022 | Geometric Segment,13191,28421,Ependymal,0,Layer I,Ependymal,H,Cortical layer I
74 | 022 | Geometric Segment,13191,28421,Microglia,0.153498462,Layer I,Microglia,B,Cortical layer I
74 | 022 | Geometric Segment,13191,28421,Neuron,0.032695454,Layer I,Neuron,A,Cortical layer I
74 | 022 | Geometric Segment,13191,28421,Oligodendrocytes,0.058794902,Layer I,Oligodendrocytes,G,Cortical layer I
74 | 022 | Geometric Segment,13191,28421,Macrophage,0.177737521,Layer I,PeriMacrophage,D,Cortical layer I
74 | 022 | Geometric Segment,13191,28421,SMC,0.096961385,Layer I,SMC,F,Cortical layer I
74 | 022 | Geometric Segment,13191,28421,Tcell,0.079451871,Layer I,Tcell,I,Cortical layer I
74 | 027 | Geometric Segment,18712,35413,Astrocyte,0.325769156,Layer I,Astrocyte,C,Cortical layer I
74 | 027 | Geometric Segment,18712,35413,Capillary,0.082352757,Layer I,Capillary,E,Cortical layer I
74 | 027 | Geometric Segment,18712,35413,Ependymal,0,Layer I,Ependymal,H,Cortical layer I
74 | 027 | Geometric Segment,18712,35413,Microglia,0.158399861,Layer I,Microglia,B,Cortical layer I
74 | 027 | Geometric Segment,18712,35413,Neuron,0.021748097,Layer I,Neuron,A,Cortical layer I
74 | 027 | Geometric Segment,18712,35413,Oligodendrocytes,0.132981238,Layer I,Oligodendrocytes,G,Cortical layer I
74 | 027 | Geometric Segment,18712,35413,Macrophage,0.102821877,Layer I,PeriMacrophage,D,Cortical layer I
74 | 027 | Geometric Segment,18712,35413,SMC,0.038439146,Layer I,SMC,F,Cortical layer I
74 | 027 | Geometric Segment,18712,35413,Tcell,0.128149909,Layer I,Tcell,I,Cortical layer I
74 | 002 | Geometric Segment,14710,30266,Astrocyte,0.095731077,Layer II/III,Astrocyte,C,Cortical layer II/III
74 | 002 | Geometric Segment,14710,30266,Capillary,0.018576715,Layer II/III,Capillary,E,Cortical layer II/III
74 | 002 | Geometric Segment,14710,30266,Ependymal,0,Layer II/III,Ependymal,H,Cortical layer II/III
74 | 002 | Geometric Segment,14710,30266,Microglia,0.08133183,Layer II/III,Microglia,B,Cortical layer II/III
74 | 002 | Geometric Segment,14710,30266,Neuron,0.615436367,Layer II/III,Neuron,A,Cortical layer II/III
74 | 002 | Geometric Segment,14710,30266,Oligodendrocytes,0.010566626,Layer II/III,Oligodendrocytes,G,Cortical layer II/III
74 | 002 | Geometric Segment,14710,30266,Macrophage,0.061974724,Layer II/III,PeriMacrophage,D,Cortical layer II/III
74 | 002 | Geometric Segment,14710,30266,SMC,0.034977223,Layer II/III,SMC,F,Cortical layer II/III
74 | 002 | Geometric Segment,14710,30266,Tcell,0.081405438,Layer II/III,Tcell,I,Cortical layer II/III
74 | 034 | Geometric Segment,13662,28221,Astrocyte,0.111161762,Layer II/III,Astrocyte,C,Cortical layer II/III
74 | 034 | Geometric Segment,13662,28221,Capillary,0.020443974,Layer II/III,Capillary,E,Cortical layer II/III
74 | 034 | Geometric Segment,13662,28221,Ependymal,0,Layer II/III,Ependymal,H,Cortical layer II/III
74 | 034 | Geometric Segment,13662,28221,Microglia,0.080693141,Layer II/III,Microglia,B,Cortical layer II/III
74 | 034 | Geometric Segment,13662,28221,Neuron,0.629089365,Layer II/III,Neuron,A,Cortical layer II/III
74 | 034 | Geometric Segment,13662,28221,Oligodendrocytes,0.003057529,Layer II/III,Oligodendrocytes,G,Cortical layer II/III
74 | 034 | Geometric Segment,13662,28221,Macrophage,0.033266222,Layer II/III,PeriMacrophage,D,Cortical layer II/III
74 | 034 | Geometric Segment,13662,28221,SMC,0.00096217,Layer II/III,SMC,F,Cortical layer II/III
74 | 034 | Geometric Segment,13662,28221,Tcell,0.121325836,Layer II/III,Tcell,I,Cortical layer II/III
74 | 035 | Geometric Segment,19124,35027,Astrocyte,0.012328791,Layer II/III,Astrocyte,C,Cortical layer II/III
74 | 035 | Geometric Segment,19124,35027,Capillary,0.010552257,Layer II/III,Capillary,E,Cortical layer II/III
74 | 035 | Geometric Segment,19124,35027,Ependymal,0,Layer II/III,Ependymal,H,Cortical layer II/III
74 | 035 | Geometric Segment,19124,35027,Microglia,0.038756094,Layer II/III,Microglia,B,Cortical layer II/III
74 | 035 | Geometric Segment,19124,35027,Neuron,0.840448989,Layer II/III,Neuron,A,Cortical layer II/III
74 | 035 | Geometric Segment,19124,35027,Oligodendrocytes,0,Layer II/III,Oligodendrocytes,G,Cortical layer II/III
74 | 035 | Geometric Segment,19124,35027,Macrophage,0.0208695,Layer II/III,PeriMacrophage,D,Cortical layer II/III
74 | 035 | Geometric Segment,19124,35027,SMC,0,Layer II/III,SMC,F,Cortical layer II/III
74 | 035 | Geometric Segment,19124,35027,Tcell,0.077044368,Layer II/III,Tcell,I,Cortical layer II/III
74 | 003 | Geometric Segment,15471,29933,Astrocyte,0.073562036,Layer II/III,Astrocyte,C,Cortical layer II/III
74 | 003 | Geometric Segment,15471,29933,Capillary,0.041724189,Layer II/III,Capillary,E,Cortical layer II/III
74 | 003 | Geometric Segment,15471,29933,Ependymal,0,Layer II/III,Ependymal,H,Cortical layer II/III
74 | 003 | Geometric Segment,15471,29933,Microglia,0.039892631,Layer II/III,Microglia,B,Cortical layer II/III
74 | 003 | Geometric Segment,15471,29933,Neuron,0.596416301,Layer II/III,Neuron,A,Cortical layer II/III
74 | 003 | Geometric Segment,15471,29933,Oligodendrocytes,0.043418126,Layer II/III,Oligodendrocytes,G,Cortical layer II/III
74 | 003 | Geometric Segment,15471,29933,Macrophage,0.055914487,Layer II/III,PeriMacrophage,D,Cortical layer II/III
74 | 003 | Geometric Segment,15471,29933,SMC,0,Layer II/III,SMC,F,Cortical layer II/III
74 | 003 | Geometric Segment,15471,29933,Tcell,0.149072229,Layer II/III,Tcell,I,Cortical layer II/III
74 | 023 | Geometric Segment,14443,27832,Astrocyte,0.07418912,Layer II/III,Astrocyte,C,Cortical layer II/III
74 | 023 | Geometric Segment,14443,27832,Capillary,0.031343085,Layer II/III,Capillary,E,Cortical layer II/III
74 | 023 | Geometric Segment,14443,27832,Ependymal,0,Layer II/III,Ependymal,H,Cortical layer II/III
74 | 023 | Geometric Segment,14443,27832,Microglia,0.039978204,Layer II/III,Microglia,B,Cortical layer II/III
74 | 023 | Geometric Segment,14443,27832,Neuron,0.607568967,Layer II/III,Neuron,A,Cortical layer II/III
74 | 023 | Geometric Segment,14443,27832,Oligodendrocytes,0.075007318,Layer II/III,Oligodendrocytes,G,Cortical layer II/III
74 | 023 | Geometric Segment,14443,27832,Macrophage,0.058342548,Layer II/III,PeriMacrophage,D,Cortical layer II/III
74 | 023 | Geometric Segment,14443,27832,SMC,0.004454409,Layer II/III,SMC,F,Cortical layer II/III
74 | 023 | Geometric Segment,14443,27832,Tcell,0.10911635,Layer II/III,Tcell,I,Cortical layer II/III
74 | 028 | Geometric Segment,19580,34754,Astrocyte,0.044988788,Layer II/III,Astrocyte,C,Cortical layer II/III
74 | 028 | Geometric Segment,19580,34754,Capillary,0.015965144,Layer II/III,Capillary,E,Cortical layer II/III
